common.operationcenter.msg424	المنتجات الرئيسية
common.operationcenter.msg425	عنوان الإدارة
common.operationcenter.msg426	الرجاء اختيار الموقع قبل المضي قدما
common.operationcenter.msg427	اسحب الماوس إلى الموقع مجانا نوع
common.operationcenter.msg428	وقت التنفيذ التالي
common.operationcenter.msg429	انتهاء الوقت
common.operationcenter.msg430	تنفيذ المحتوى
common.operationcenter.msg431	بيانات الاستجابة
common.operationcenter.msg432	العنوان التفصيلي
common.operationcenter.msg433	المعلومات الأساسية للمشروع
common.operationcenter.msg434	معلومات المشروع
common.operationcenter.msg435	إذن المعلومات
common.operationcenter.msg436	معلومات الموقع
common.operationcenter.msg437	موقع جبل قائمة الأجهزة
common.operationcenter.msg438	قائمة الأجهزة المثبتة
common.operationcenter.msg439	رقم الموقع / الاسم
common.operationcenter.msg440	اسم المستخدم / رقم الجوال
common.operationcenter.msg441	أذن
common.operationcenter.msg442	إذن الوقت
common.operationcenter.msg443	الموقع الافتراضي
common.operationcenter.msg444	ملاحظة : حجم كل صورة لا تزيد عن 2 ميغابايت ، وليس أكثر من 6
common.operationcenter.msg445	معلومات الموقع
common.operationcenter.msg446	عدد المنتجات المستخدمة
common.operationcenter.msg447	عدد من الأجهزة المثبتة
common.operationcenter.msg448	أدخل اسم الجهاز / جهاز تسلسل رمز البحث
common.operationcenter.msg449	حذف الرسومات
common.operationcenter.msg450	هل تريد حذف هذه الصورة ؟
common.operationcenter.msg451	إزالة
common.operationcenter.msg452	سحب وإسقاط المواقع / إدخال خطوط الطول والعرض لتحديد المواقع ( لون ، لات ) / عنوان البحث لتحديد المواقع
common.operationcenter.msg453	إضافة موقع
common.operationcenter.msg454	قائمة التشغيل
common.operationcenter.msg455	اسم / رقم تسلسل اللعب مربع
common.operationcenter.msg456	برنامج القرار
common.operationcenter.msg457	أحدث لقطة
common.operationcenter.msg458	تكوين
common.operationcenter.msg459	تكوين خدمة NTP
common.operationcenter.msg460	السيطرة
common.operationcenter.msg461	الرجاء إدخال اسم الجهاز / رمز الهوية